cartodb_id;address_id;the_geom;the_geom_webmercator;code;status;postalcode;street;housenr;housenrext;city;rooms;price;priceext;sale_type;type;area;lotsize;volume;yearofconstruction;listedsince;dateofsale;broker
751012;0307200000501445;010100002040710000AE47E17A60AD024114AE47E1C6331C41;0101000020110F000070374748CD332241620E32D0B40A5A41;40580250;Verkocht;3818XH;Ruys de Beerenbroucklaan;8;a;Amersfoort;3;192000;k.k.;VK;1;61;NULL;NULL;NULL;2016-11-29;NULL;Digimakelaars.nl - Internetmakelaar
741138;0307200000450805;010100002040710000333333338FC90241AE47E17A15451C41;0101000020110F0000D3136EED413F224160EA997A780C5A41;40580947;Verkocht;3812AE;Soesterweg;171;a;Amersfoort;2;139000;k.k.;VK;1;43;NULL;NULL;NULL;2016-11-29;NULL;Telman & Van Leeuwen Makelaars
738525;0307200000437304;010100002040710000E17A14AE0B19034114AE47E1213B1C41;0101000020110F0000AE4091A5945F2241EAA2C3C8740B5A41;40583141;Verkocht;3816CJ;Ringweg-Randenbroek;40;c;Amersfoort;4;162500;k.k.;VK;1;73;NULL;NULL;NULL;2016-11-29;NULL;Drenth Makelaars - Makelaardij in Amersfoort
2920693;NULL;NULL;NULL;40591608;Verkocht;3811MP;Spoorstraat;18;a;Amersfoort;3;315000;k.k.;VK;NULL;89;66;NULL;NULL;2016-11-29;NULL;Drenth Makelaars - Makelaardij in Amersfoort
751102;0307200000501742;0101000020407100003D0AD7A3980A03413D0AD7A3B5511C41;0101000020110F000037773475B5592241AC5BDFF5C10D5A41;40592185;Verkocht;3814TE;Ringweg-Kruiskamp;72;g;Amersfoort;3;225000;k.k.;VK;1;84;NULL;NULL;NULL;NULL;NULL;De Ruiter Makelaarshuis BV
743525;0307200000463709;01010000204071000014AE47E1001D034100000000D0571C41;0101000020110F000034604E8D3261224148889A2D610E5A41;40592773;Verkocht;3815LN;Trekvogelweg;58;h;Amersfoort;2;150000;k.k.;VK;1;62;NULL;NULL;NULL;2016-11-29;NULL;De Ruiter Makelaarshuis BV
752681;0307200000509920;0101000020407100009A99999939EA024148E17A1432421C41;0101000020110F00008470ADC18A4C2241137AAE292D0C5A41;40595242;Verkocht;3811BA;Westsingel;16;n;Amersfoort;4;350000;k.k.;VK;1;101;NULL;NULL;NULL;2016-11-29;NULL;Telman & Van Leeuwen Makelaars
2919893;NULL;NULL;NULL;40597779;Verkocht;3814AG;Van Randwijcklaan;105;d;Amersfoort;5;310000;k.k.;VK;NULL;113;65;NULL;NULL;2016-11-29;NULL;Woonvast Makelaars
745111;0307200000472409;010100002040710000E17A14AECF0103413D0AD7A346521C41;0101000020110F00008B48CCB722562241A24923C3D00D5A41;40598362;Verkocht;3814TL;Kortenaerstraat;4;d;Amersfoort;3;150000;k.k.;VK;1;47;NULL;NULL;NULL;NULL;NULL;De Ruiter Makelaarshuis BV
3986524;NULL;NULL;NULL;40601845;Verkocht;3824LW;Karper;141;2p;Amersfoort;4;225000;k.k.;VK;NULL;90;NULL;NULL;NULL;2016-11-29;NULL;Woonvast Makelaars
2917923;NULL;NULL;NULL;40608055;Verkocht;3812CA;Puntenburgerlaan;7;a;Amersfoort;2;235000;k.k.;VK;NULL;65;NULL;NULL;NULL;2016-11-29;NULL;Makelaarsland
748968;0307200000491365;01010000204071000033333333C3090341A4703D0AF83C1C41;0101000020110F0000A023EFCB5D59224149FDFEBFA40B5A41;40608798;Verkocht;3816MD;Beethovenweg;2;a;Amersfoort;5;215000;k.k.;VK;1;80;NULL;NULL;NULL;2016-11-29;NULL;Hendriks Makelaardij Amersfoort
749879;0307200000496006;0101000020407100009A99999955FB0241713D0AD7CB451C41;0101000020110F0000599C110780532241713CA31A8B0C5A41;40610525;Verkocht;3811JG;Achter de Kamp;30;a;Amersfoort;3;239000;k.k.;VK;1;68;NULL;NULL;NULL;2016-11-29;NULL;De Ruiter Makelaarshuis BV
2992383;NULL;NULL;NULL;40610981;Verkocht;3814CB;Hogeweg;17;b;Amersfoort;2;175000;k.k.;VK;NULL;55;NULL;NULL;NULL;2016-11-29;NULL;Fundament Makelaars
750548;0307200000498930;010100002040710000295C8FC26B0C034148E17A142E3D1C41;0101000020110F00003331268C725A2241B16C2240AA0B5A41;40616362;Verkocht;3816MJ;Valeriushof;21;b;Amersfoort;2;119500;k.k.;VK;1;41;NULL;NULL;NULL;2016-11-29;NULL;e-makelaar
3992393;NULL;NULL;NULL;40619480;Verkocht;3818LN;Barchman Wuytierslaan;196;c;Amersfoort;5;710000;v.o.n.;VK;NULL;NULL;302;NULL;NULL;2016-11-29;NULL;Govaert Makelaardij Verhuur & Beheer
4839662;NULL;NULL;NULL;40619488;Verkocht;3818LN;Barchman Wuytierslaan;196;a;Amersfoort;5;745000;v.o.n.;VK;NULL;NULL;338;NULL;NULL;2016-11-29;NULL;Govaert Makelaardij Verhuur & Beheer
3990302;NULL;NULL;NULL;40619489;Verkocht;3818LN;Barchman Wuytierslaan;196;b;Amersfoort;5;725000;v.o.n.;VK;NULL;NULL;327;NULL;NULL;2016-11-29;NULL;Govaert Makelaardij Verhuur & Beheer
729399;0307200000390986;0101000020407100000000000072EA02419A99999935421C41;0101000020110F000071F944B1A14C2241625688852D0C5A41;40620195;Verkocht;3811BA;Westsingel;15;d;Amersfoort;3;225000;k.k.;VK;1;68;NULL;NULL;NULL;2016-11-29;NULL;Hoekschoeman
3994775;NULL;NULL;NULL;40621508;Verkocht;3818XB;Treublaan;27;a;Amersfoort;3;150000;k.k.;VK;NULL;57;NULL;NULL;NULL;2016-11-29;NULL;Succesmakelaars & financieel adviseurs
